user_id,user_name,persona,email,hierarchy_level,hierarchy_id,status
USR_DDW_01,DDW Manager 1,DDW,ddw1@demo.local,Division,DIV01,Active
USR_MDW_010101,MDW Manager 1-1-1,MDW,mdw111@demo.local,Market,MKT010101,Active
USR_MDW_010102,MDW Manager 1-1-2,MDW,mdw112@demo.local,Market,MKT010102,Active
USR_MDW_010201,MDW Manager 1-2-1,MDW,mdw121@demo.local,Market,MKT010201,Active
USR_MDW_010202,MDW Manager 1-2-2,MDW,mdw122@demo.local,Market,MKT010202,Active
USR_MDW_010301,MDW Manager 1-3-1,MDW,mdw131@demo.local,Market,MKT010301,Active
USR_MDW_010302,MDW Manager 1-3-2,MDW,mdw132@demo.local,Market,MKT010302,Active
USR_DDW_02,DDW Manager 2,DDW,ddw2@demo.local,Division,DIV02,Active
USR_MDW_020101,MDW Manager 2-1-1,MDW,mdw211@demo.local,Market,MKT020101,Active
USR_MDW_020102,MDW Manager 2-1-2,MDW,mdw212@demo.local,Market,MKT020102,Active
USR_MDW_020201,MDW Manager 2-2-1,MDW,mdw221@demo.local,Market,MKT020201,Active
USR_MDW_020202,MDW Manager 2-2-2,MDW,mdw222@demo.local,Market,MKT020202,Active
USR_MDW_020301,MDW Manager 2-3-1,MDW,mdw231@demo.local,Market,MKT020301,Active
USR_MDW_020302,MDW Manager 2-3-2,MDW,mdw232@demo.local,Market,MKT020302,Active
USR_DDW_03,DDW Manager 3,DDW,ddw3@demo.local,Division,DIV03,Active
USR_MDW_030101,MDW Manager 3-1-1,MDW,mdw311@demo.local,Market,MKT030101,Active
USR_MDW_030102,MDW Manager 3-1-2,MDW,mdw312@demo.local,Market,MKT030102,Active
USR_MDW_030201,MDW Manager 3-2-1,MDW,mdw321@demo.local,Market,MKT030201,Active
USR_MDW_030202,MDW Manager 3-2-2,MDW,mdw322@demo.local,Market,MKT030202,Active
USR_MDW_030301,MDW Manager 3-3-1,MDW,mdw331@demo.local,Market,MKT030301,Active
USR_MDW_030302,MDW Manager 3-3-2,MDW,mdw332@demo.local,Market,MKT030302,Active
USR_DDW_04,DDW Manager 4,DDW,ddw4@demo.local,Division,DIV04,Active
USR_MDW_040101,MDW Manager 4-1-1,MDW,mdw411@demo.local,Market,MKT040101,Active
USR_MDW_040102,MDW Manager 4-1-2,MDW,mdw412@demo.local,Market,MKT040102,Active
USR_MDW_040201,MDW Manager 4-2-1,MDW,mdw421@demo.local,Market,MKT040201,Active
USR_MDW_040202,MDW Manager 4-2-2,MDW,mdw422@demo.local,Market,MKT040202,Active
USR_MDW_040301,MDW Manager 4-3-1,MDW,mdw431@demo.local,Market,MKT040301,Active
USR_MDW_040302,MDW Manager 4-3-2,MDW,mdw432@demo.local,Market,MKT040302,Active
USR_FIRM_001,Firm Executive Demo,Firm,firm@demo.local,Firm,FIRM001,Active
USR_ADV0001,Priya Chen,Advisor,adv0001@demo.local,Advisor,ADV0001,Active
USR_ADV0002,Morgan Patel,Advisor,adv0002@demo.local,Advisor,ADV0002,Active
USR_ADV0003,David Kumar,Advisor,adv0003@demo.local,Advisor,ADV0003,Active
USR_ADV0004,Victor Jackson,Advisor,adv0004@demo.local,Advisor,ADV0004,Active
USR_ADV0005,Taylor Thompson,Advisor,adv0005@demo.local,Advisor,ADV0005,Active
USR_ADV0006,Emma Brown,Advisor,adv0006@demo.local,Advisor,ADV0006,Active
USR_ADV0007,Arjun Davis,Advisor,adv0007@demo.local,Advisor,ADV0007,Active
USR_ADV0008,Cameron Lee,Advisor,adv0008@demo.local,Advisor,ADV0008,Active
USR_ADV0009,Grace Taylor,Advisor,adv0009@demo.local,Advisor,ADV0009,Active
